TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20231101,90,2.0,1765,27,5.1,1213,25,12.3,1155,21.2,24.6,1343,16.6,449,11.8,17.2,11.4,55.3,41.0,1,13.9,-9.0,-9.0,-9.00,1012.9,1014.9,1017.6,240,1012.6,1742,4.5,5.4,10.6,-9.0,-9.00,-9.00,-9,0.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20231101,93,0.6,544,29,1.8,633,32,2.5,629,14.7,16.9,1640,11.9,5,13.7,14.3,11.3,94.1,89.0,1323,15.8,0.6,0.4,-9.00,1007.0,1018.4,1021.2,31,1016.1,1720,9.6,0.0,10.6,-9.0,1.48,0.28,1100,0.4,0.0,5.17,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.3,17.2,19.3,22.0,17.0
20231101,95,1.9,1655,18,3.2,426,18,6.9,425,17.9,19.5,1846,15.7,616,15.3,16.1,14.1,85.0,74.0,1,17.4,1.0,0.7,-9.00,999.2,1017.4,1020.0,31,1015.3,1733,5.9,0.0,10.6,-9.0,1.87,0.32,1400,1.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20231101,98,2.0,1720,23,4.0,1613,18,7.6,1227,18.2,20.2,1552,15.6,704,16.1,16.6,14.6,88.4,83.0,1330,18.4,1.1,0.8,-9.00,1003.8,1017.3,1019.8,1,1015.4,1345,8.1,0.0,10.6,-9.0,2.97,0.72,1200,1.2,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20231101,99,2.5,2196,23,4.3,1132,25,8.0,1318,18.4,20.7,1309,16.2,534,16.8,17.2,15.5,90.8,82.0,1057,19.2,1.3,0.9,-9.00,1014.1,1017.7,1020.1,1,1016.0,1732,7.6,0.1,10.6,-9.0,4.44,0.98,1000,0.5,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20231101,100,6.2,5384,27,11.5,1753,25,17.8,1939,13.5,15.3,1318,9.6,305,10.5,11.3,7.3,82.1,64.0,1,12.7,2.0,1.4,-9.00,929.5,1017.6,1021.5,219,1014.4,1747,6.6,0.0,10.6,-9.0,3.77,0.66,1100,0.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20231101,101,0.5,424,20,2.0,1527,20,2.9,1523,14.4,17.0,1602,11.9,1,12.7,14.4,10.9,89.8,82.0,1353,14.7,0.6,0.4,-9.00,1008.9,1018.0,1020.8,35,1015.6,1725,6.5,0.0,10.6,-9.0,1.49,0.31,1200,0.1,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.2,18.5,20.2,20.8,18.9
20231101,102,3.3,2890,23,7.0,19,23,10.8,47,18.9,22.7,1411,16.5,2306,16.5,20.8,17.1,86.9,65.0,1402,18.8,2.8,2.0,2.83,1009.7,1013.9,1015.7,1,1012.7,1359,4.9,7.4,10.6,-9.0,12.13,2.03,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20231101,104,2.3,2029,25,7.0,1353,27,13.1,1256,20.1,23.5,1145,15.3,230,11.0,16.0,10.3,56.8,39.0,120,13.3,3.6,2.5,-9.00,1006.6,1015.3,1017.5,302,1012.6,1339,4.0,6.5,10.6,-9.0,11.24,2.10,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.6,17.6,18.5,16.4,8.3
20231101,105,3.6,3130,25,7.4,1403,23,13.9,1356,21.5,24.5,1235,18.4,325,12.1,20.0,13.6,55.5,30.0,144,14.2,4.5,3.2,-9.00,1012.8,1015.9,1018.0,447,1013.4,1317,3.8,6.4,10.6,-9.0,10.65,1.92,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.7,18.4,19.4,19.7,18.1
20231101,106,1.6,1349,27,7.4,1457,27,13.1,1512,19.9,24.3,1332,15.0,638,11.2,15.3,8.9,57.8,26.0,40,13.4,-9.0,-9.0,-9.00,1011.5,1016.3,1018.6,842,1013.2,1446,3.9,7.7,10.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20231101,108,2.4,2093,20,4.4,1458,23,8.0,1758,19.0,20.6,1504,17.2,452,15.8,17.3,16.2,81.8,77.0,1457,17.9,1.4,1.0,-9.00,1006.7,1016.7,1019.3,56,1014.9,1728,9.0,0.0,10.7,-9.0,2.23,0.42,1200,0.0,-9.0,0.83,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.3,18.3,20.1,20.5,19.1
20231101,112,4.0,3476,16,5.8,600,20,11.0,1351,18.6,20.5,1417,16.7,408,16.4,17.8,15.2,87.3,81.0,1420,18.6,1.6,1.1,-9.00,1009.0,1017.0,1019.6,43,1015.4,1409,8.9,0.0,10.6,-9.0,4.21,0.83,1300,0.0,-9.0,0.25,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.1,17.9,18.8,19.8,17.9
